Date,White,Black,Result,WhiteElo,BlackElo,Opening,Termination,Moves,MoveTimes,score
2024.11.21,andrea_spagnolo,shamsir,1/2-1/2,1595,1606,English Opening,Time forfeit,c2c4 d7d6 b1c3 g7g6 g2g3 f8g7 f1g2 c7c6 e2e3 g8f6 d2d4 d8b6 b2b3 b8d7 g1f3 e8g8 e1g1 f6e8 c1b2 d7f6 a2a4 c8g4 a4a5 b6b4 a1a4 g4f3 g2f3 b4a4 b3a4 e8c7 d1b3 a8b8 b2a3 a7a6 c4c5 d6d5 e3e4 e7e6 e4d5 e6d5 f1e1 f6e8 b3b1 g7d4 a3b2 c7e6 b1c1 e6c5 b2a3 c5d3 c1d1 d4f2 g1g2 d3e1 g2f2 e1f3 d1f3 d5d4 c3e4 f7f5 a3f8 f5e4 f3f4 e4e3 f2e2 b8d8 f8e7 d4d3 e2e3 e8f6 e7f6 d8f8 f4c7 f8f6 e3d3 f6f7 c7d8 g8g7 d8h4 g7g8 g3g4 g8g7 h4e1 g7g8 h2h3 f7d7 d3c2 d7f7 e1b4 g8g7 b4c3 g7g8 c3b3 g8g7 c2d3 f7f3 d3e4 f3b3 e4e5 b3a3 e5d6 a3a4 d6c7 a4a5 c7b7 a5b5 b7c6 g7f6 c6d6 f6g5 d6c6 g5h4 c6d6 h4h3 d6c6 h3g4 c6c7 h7h5 c7c6 h5h4 c6d6 h4h3 d6e6 h3h2 e6f6 h2h1q f6g6 h1f1 g6g7 b5b6 g7h7,"['0:10:00', '0:10:00', '0:09:58', '0:09:59', '0:09:58', '0:09:58', '0:09:56', '0:09:57', '0:09:50', '0:09:55', '0:09:49', '0:09:46', '0:09:47', '0:09:35', '0:09:46', '0:09:28', '0:09:44', '0:09:20', '0:09:38', '0:09:18', '0:09:28', '0:09:15', '0:09:25', '0:09:06', '0:09:11', '0:09:03', '0:09:04', '0:08:38', '0:09:01', '0:08:26', '0:08:35', '0:08:19', '0:08:13', '0:08:17', '0:08:12', '0:08:07', '0:08:06', '0:07:52', '0:07:57', '0:07:50', '0:07:56', '0:07:11', '0:07:38', '0:07:06', '0:07:30', '0:06:58', '0:07:00', '0:06:36', '0:06:49', '0:05:54', '0:04:16', '0:05:28', '0:04:01', '0:04:15', '0:03:55', '0:04:07', '0:03:47', '0:03:32', '0:03:37', '0:03:20', '0:03:06', '0:03:09', '0:02:31', '0:02:44', '0:02:24', '0:02:40', '0:02:01', '0:02:16', '0:01:53', '0:01:09', '0:00:51', '0:00:46', '0:00:28', '0:00:42', '0:00:25', '0:00:39', '0:00:21', '0:00:37', '0:00:19', '0:00:35', '0:00:17', '0:00:34', '0:00:17', '0:00:32', '0:00:16', '0:00:30', '0:00:15', '0:00:28', '0:00:15', '0:00:26', '0:00:13', '0:00:24', '0:00:13', '0:00:22', '0:00:12', '0:00:20', '0:00:12', '0:00:19', '0:00:10', '0:00:19', '0:00:10', '0:00:18', '0:00:10', '0:00:17', '0:00:10', '0:00:13', '0:00:10', '0:00:10', '0:00:08', '0:00:09', '0:00:08', '0:00:08', '0:00:07', '0:00:08', '0:00:07', '0:00:07', '0:00:07', '0:00:06', '0:00:06', '0:00:06', '0:00:05', '0:00:06', '0:00:05', '0:00:05', '0:00:05', '0:00:04', '0:00:05', '0:00:02', '0:00:04', '0:00:02', '0:00:02']","[7, 33, 34, 51, 26, 37, 23, 57, 19, 23, 21, 51, 59, 82, 57, 45, 39, 123, 96, 102, 63, 121, 127, 599, 626, 671, 652, 660, 619, 636, 588, 596, 611, 680, 662, 644, 481, 589, 551, 566, 512, 577, 498, 511, 466, 476, 449, 510, 351, 352, 367, 366, 353, 376, 385, 381, 378, 501, 491, 565, 559, 570, 605, 694, 554, 729, 776, 777, 824, 928, 552, 956, 618, 623, 570, 585, 581, 586, 537, 584, 546, 544, 540, 577, 540, 591, 507, 543, 524, 543, 546, 551, 530, 548, -503, -555, -824, -875, -888, -787, -902, -818, -824, -797, -896, -777, -805, -828, -852, -1041, -1089, -1123, -1135, -9982, -9989, -9989, -9989, -9993, -9993, -9994, -9994, -9995, -9995, -9996, -9996, -9997, -9997, -9998, -9998, -9998, -9998]"
2024.11.21,tigerpathan,andrea_spagnolo,0-1,1500,1589,Queen's Pawn Game: Krause Variation,Normal,d2d4 d7d5 g1f3 c7c5 c1f4 c8f5 b1c3 e7e6 d4c5 f8c5 d1d2 g8f6 e1c1 e8g8 e2e3 b8c6 f1d3 f5d3 d2d3 c6b4 d3e2 d8a5 c1b1 f6e4 a2a3 e4c3 b2c3 b4c6 c3c4 c5a3 c4d5 a5b4 b1a1 b4b2,"['0:10:00', '0:10:00', '0:09:56', '0:09:58', '0:09:42', '0:09:53', '0:09:32', '0:09:49', '0:09:06', '0:09:47', '0:08:38', '0:09:35', '0:08:35', '0:09:33', '0:08:24', '0:09:22', '0:08:22', '0:09:08', '0:08:13', '0:08:58', '0:07:35', '0:08:49', '0:06:24', '0:08:31', '0:06:01', '0:07:56', '0:05:58', '0:07:50', '0:05:10', '0:07:46', '0:03:58', '0:07:24', '0:03:25', '0:07:24']","[23, 31, 21, 33, 2, 78, 39, 55, 71, 142, -47, -49, -123, -124, -144, -123, -119, -129, -136, -37, -87, -77, -312, -311, -352, -362, -367, -355, -432, -409, -9998, -9999, -9999, -10000]"
2024.11.20,andrea_spagnolo,jay319,0-1,1601,1609,"English Opening: King's English Variation, Two Knights Variation, Smyslov System",Normal,c2c4 g8f6 b1c3 e7e5 g2g3 f8b4 f1g2 c7c6 g1f3 d7d6 d2d3 e5e4 d3e4 f6e4 d1d4 e4c3 b2c3 b4c5 d4g7 h8f8 c1h6 d6d5 f3e5 c8e6 a1d1 b8d7 c4d5 c6d5 g2d5 d8f6 d5e6 f6f2 e1d2 d7e5 g7e5 a8d8 e6d7 e8d7 d2c1 d7c8 d1d8 f8d8 h6g5 c5a3 c1b1 f2b6 b1c2 b6b2,"['0:10:00', '0:10:00', '0:09:59', '0:09:58', '0:09:58', '0:09:56', '0:09:24', '0:09:54', '0:09:16', '0:09:51', '0:09:08', '0:09:43', '0:08:59', '0:09:41', '0:08:33', '0:09:14', '0:08:26', '0:08:58', '0:08:24', '0:08:52', '0:08:06', '0:08:28', '0:07:52', '0:08:23', '0:06:50', '0:08:09', '0:06:31', '0:08:07', '0:06:04', '0:07:51', '0:05:28', '0:07:24', '0:05:04', '0:07:15', '0:04:36', '0:07:12', '0:04:21', '0:07:03', '0:04:16', '0:07:00', '0:04:06', '0:06:57', '0:03:37', '0:06:52', '0:03:28', '0:06:42', '0:03:17', '0:06:40']","[24, 27, 15, 12, 14, 9, 19, 32, 23, 16, 15, 81, 86, 120, 117, 347, 370, 369, 361, 377, 358, 483, 394, 437, 520, 505, 528, 537, 535, 529, 483, 584, 635, 768, 802, 865, 700, 740, 492, 571, 266, 266, 177, 255, -9997, -9998, -9999, -10000]"
2024.11.20,kartoffel-fee,andrea_spagnolo,1-0,1540,1628,Hungarian Opening,Normal,g2g3 d7d5 f1g2 g8f6 d2d4 c8f5 c2c3 e7e6 c1g5 f8e7 b1d2 h7h6 g5f6 e7f6 f2f3 b8d7 e2e4 f5g6 g1e2 d8e7 e4e5 f6g5 f3f4 g5f4 e2f4 g6f5 e1g1 e8c8 d2b3 f7f6 e5f6 g7f6 f1e1 e6e5 f4d5 e7e6 b3c5 d7c5 d4c5 c7c6 d5f4 d8d1 f4e6 d1e1 a1e1 f5e6 a2a4 h8d8 b2b4 d8d2 e1c1 c8c7 a4a5 b7b6 a5b6 a7b6 c5b6 c7b6 h2h4 e6d5 g2d5 c6d5 g1f1 b6b5 c1a1 d2c2 a1a5 b5c4 a5a3 c2c3 a3c3 c4c3 b4b5 d5d4 b5b6 d4d3 f1e1 c3c2 b6b7 d3d2 e1f2 d2d1q b7b8q d1d2 f2f3 d2d3 f3g4 d3g6 g4h3 g6f5 h3g2 c2d3 b8b1,"['0:10:00', '0:10:00', '0:09:59', '0:09:57', '0:09:57', '0:09:55', '0:09:56', '0:09:54', '0:09:53', '0:09:52', '0:09:52', '0:09:41', '0:09:50', '0:09:41', '0:09:44', '0:09:39', '0:09:43', '0:09:35', '0:09:40', '0:09:32', '0:09:37', '0:09:29', '0:09:34', '0:09:18', '0:09:31', '0:09:11', '0:09:22', '0:09:10', '0:09:19', '0:09:09', '0:09:12', '0:09:09', '0:08:57', '0:09:07', '0:08:52', '0:08:44', '0:08:46', '0:08:37', '0:08:42', '0:08:30', '0:08:31', '0:08:17', '0:08:29', '0:08:16', '0:08:28', '0:08:14', '0:08:22', '0:08:12', '0:08:18', '0:08:09', '0:08:16', '0:07:59', '0:08:14', '0:07:53', '0:08:09', '0:07:53', '0:08:06', '0:07:53', '0:08:03', '0:07:47', '0:08:00', '0:07:47', '0:07:56', '0:07:45', '0:07:48', '0:07:35', '0:07:44', '0:07:33', '0:07:35', '0:07:31', '0:07:33', '0:07:30', '0:07:32', '0:07:29', '0:07:31', '0:07:28', '0:07:30', '0:07:26', '0:07:28', '0:07:26', '0:07:25', '0:07:14', '0:07:24', '0:07:11', '0:07:19', '0:06:58', '0:07:16', '0:06:47', '0:07:13', '0:06:42', '0:07:10', '0:06:23', '0:07:06']","[14, 15, -29, 17, 12, 10, -42, -29, -40, -16, -43, 14, 20, 16, -100, -57, -59, -36, -53, 208, 221, 283, 298, 453, 434, 464, 467, 571, 400, 472, 438, 501, 421, 597, 581, 741, 253, 266, 165, 139, -10, -7, 1, 3, 0, 1, -3, 0, -6, 16, -120, 11, -45, 3, 0, -3, -9, -2, -41, 1, 2, 1, -162, -165, -175, -30, -23, -5, -241, -81, -96, -87, -87, -89, -87, -76, -129, -126, -130, -142, -146, -135, -130, -127, -237, -116, -293, -106, -106, -130, -146, 799, 883]"
2024.11.18,MysterDhanvin10,andrea_spagnolo,1-0,1604,1642,Slav Defense,Normal,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 c1f4 c8f5 f4b8 a8b8 c4d5 c6d5 e2e3 e7e6 g1f3 f8b4 f1b5 f6d7 f3e5 e8g8 e5d7 d8a5 b5a4 b4c3 b2c3 a5c3 e1e2 f5d3 d1d3,"['0:10:00', '0:10:00', '0:09:59', '0:09:55', '0:09:57', '0:09:53', '0:09:55', '0:09:49', '0:09:52', '0:09:37', '0:09:51', '0:09:35', '0:09:50', '0:09:33', '0:09:49', '0:09:29', '0:09:47', '0:09:21', '0:09:44', '0:09:03', '0:09:40', '0:08:57', '0:09:30', '0:08:52', '0:09:28', '0:08:49', '0:09:18', '0:08:40', '0:09:15']","[22, 23, 23, 29, 22, 31, -33, 36, -37, -27, -42, -25, -31, 9, -26, 530, -67, 229, 227, 351, 361, 371, 278, 296, 287, 302, 294, 711, 725]"
2024.11.15,onkflap2000,andrea_spagnolo,1-0,1697,1653,Slav Defense,Normal,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 c1g5 e7e6 e2e3 f8e7 g1f3 h7h6 g5h4 b8d7 f1d3 e8g8 a2a3 c6c5 e1g1 c5d4 f3d4 b7b6 c4d5 f6d5 h4e7 d8e7 c3d5 e6d5 d3c2 c8b7 d1d3 d7c5 d3h7,"['0:10:00', '0:10:00', '0:09:59', '0:09:57', '0:09:58', '0:09:55', '0:09:57', '0:09:47', '0:09:55', '0:09:45', '0:09:53', '0:09:44', '0:09:51', '0:09:41', '0:09:50', '0:09:38', '0:09:48', '0:09:37', '0:09:42', '0:09:34', '0:09:40', '0:09:30', '0:09:21', '0:09:25', '0:09:20', '0:09:24', '0:08:56', '0:09:20', '0:08:55', '0:09:17', '0:08:52', '0:09:16', '0:08:50']","[24, 26, 25, 32, 30, 25, -40, 42, 39, 43, 42, 48, 37, 34, 15, 28, 2, 9, 11, 18, 14, 283, 218, 347, 40, 62, 58, 58, 23, 63, 24, 9999, 10000]"
2024.11.14,andrea_spagnolo,isignal,0-1,1666,1680,Queen's Pawn Game: Accelerated London System,Normal,d2d4 d7d5 c1f4 c8f5 g1f3 e7e6 e2e3 f8d6 f4g3 g8f6 b1d2 e8g8 f3e5 b8d7 d2f3 f6e4 f1d3 e4g3 h2g3 f5d3 d1d3 d7f6 g3g4 f6e4 e1c1 d6e7 f3d2 f7f5 f2f3 e4f2 h1h7 f2d3 c2d3 g8h7 d1h1 h7g8 e3e4 e7g5 e4f5,"['0:10:00', '0:10:00', '0:09:59', '0:09:57', '0:09:55', '0:09:56', '0:09:52', '0:09:49', '0:09:45', '0:09:45', '0:09:43', '0:09:33', '0:09:40', '0:09:13', '0:09:38', '0:08:58', '0:09:30', '0:08:54', '0:09:27', '0:08:21', '0:09:27', '0:08:17', '0:09:18', '0:06:54', '0:08:57', '0:06:13', '0:08:46', '0:05:12', '0:08:36', '0:05:00', '0:07:58', '0:04:30', '0:07:55', '0:04:27', '0:07:53', '0:04:24', '0:07:39', '0:04:04', '0:07:27']","[21, 26, 16, 34, 18, 17, 13, 10, 5, -5, -5, 4, -17, -1, -30, -34, -47, 19, 23, 39, 43, 16, 9, 88, -124, 145, 131, 126, -130, -155, -518, -558, -553, -576, -579, -583, -601, -671, -680]"
2024.11.14,Cicuta,andrea_spagnolo,1-0,1719,1679,Italian Game: Giuoco Piano,Normal,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 h2h3 g8f6 f1e1 e8g8 c2c3 a7a6 c4b3 c6e7 d2d3 c7c6 b1d2 d6d5 e4d5 c6d5 f3e5 f8e8 d3d4 c5d6 d2f3 b7b5 c1g5 f6d7 e5d7 c8d7 g5e7 e8e7 b3d5 a8a7 f3e5 d6e5 d4e5 e7e8 f2f4 d7e6 d5e6 d8b6 g1h1 b6e6 d1d6 e6f5 d6c6 a7a8 e1f1 f5c2 f4f5 c2b2 e5e6 f7e6 f5e6 a8c8 c6a6 c8c3 e6e7 c3c7 a6e6 g8h8 f1f8 e8f8 e7f8r,"['0:10:00', '0:10:00', '0:09:58', '0:09:57', '0:09:56', '0:09:52', '0:09:53', '0:09:49', '0:09:51', '0:09:48', '0:09:32', '0:09:40', '0:09:31', '0:09:37', '0:09:27', '0:09:28', '0:09:25', '0:09:26', '0:09:15', '0:09:24', '0:09:08', '0:09:21', '0:09:04', '0:08:59', '0:09:02', '0:08:56', '0:08:59', '0:08:32', '0:08:56', '0:08:05', '0:08:48', '0:07:56', '0:08:39', '0:07:54', '0:08:39', '0:07:26', '0:08:35', '0:07:23', '0:08:27', '0:06:23', '0:08:24', '0:06:19', '0:08:10', '0:06:16', '0:08:07', '0:06:14', '0:07:59', '0:06:06', '0:07:37', '0:05:45', '0:07:29', '0:05:42', '0:07:22', '0:05:26', '0:07:20', '0:05:19', '0:07:18', '0:05:10', '0:07:13', '0:05:05', '0:07:09', '0:04:15', '0:07:04', '0:04:09', '0:07:04', '0:04:06', '0:07:04']","[34, 26, 27, 32, 28, 34, 26, 25, 24, 16, 9, 6, -23, 46, 38, 145, 42, 85, 36, 219, 221, 209, 212, 216, 210, 201, 219, 240, 269, 638, 308, 438, 312, 341, 317, 343, 347, 331, 322, 356, 229, 350, 292, 372, 310, 281, 206, 284, 293, 315, 216, 204, 188, 185, 184, 186, 217, 217, 109, 396, 407, 9997, 9998, 9998, 9999, 9999, 10000]"
2024.11.14,andrea_spagnolo,renielbunyi,1-0,1664,1671,Indian Defense: London System,Normal,d2d4 g8f6 c1f4 e7e6 g1f3 f8d6 e2e3 f6h5 f4g3 h5g3 h2g3 c7c5 f1d3 c5d4 e3d4 g7g6 c2c3 b7b6 b1d2 c8b7 d1c2 b8c6 e1c1 a8c8 d2e4 c6b4,"['0:10:00', '0:10:00', '0:09:59', '0:09:59', '0:09:58', '0:09:56', '0:09:55', '0:09:52', '0:09:48', '0:09:51', '0:09:48', '0:09:46', '0:09:43', '0:09:40', '0:09:42', '0:09:25', '0:09:38', '0:09:12', '0:09:36', '0:09:10', '0:09:28', '0:09:02', '0:09:26', '0:09:00', '0:08:21', '0:08:53']","[29, 23, 13, 18, 23, 52, -2, 159, 58, 71, 70, 97, 55, 63, 62, 100, 43, 116, 98, 105, 43, 63, 49, 47, 18, 595]"
2024.11.13,ali_704,andrea_spagnolo,1-0,1685,1678,Bishop's Opening: Boi Variation,Normal,e2e4 e7e5 f1c4 f8c5 d2d3 b8c6 a2a3 g8f6 g1f3 e8g8 h2h3 d7d6 c1g5 a7a6 e1g1 b7b5 c4a2 c6d4 b2b4 c5b6 g1h1 c8b7 f3h2 h7h6 g5h4 b7c8 f2f4 c7c6 f4e5 d6e5 h4f6 g7f6 d1h5 g8h7 h2g4 c8g4 h5g4 f8g8 g4h4 g8g7 f1f6 d8f6 h4f6 d4c2 f6e5 c2a1 e5a1 a8g8 g2g4 h6h5 a1e5 h5g4 e5h5,"['0:10:00', '0:10:00', '0:09:58', '0:09:58', '0:09:54', '0:09:56', '0:09:52', '0:09:53', '0:09:51', '0:09:52', '0:09:46', '0:09:51', '0:09:43', '0:09:49', '0:09:41', '0:09:47', '0:09:39', '0:09:43', '0:09:31', '0:09:35', '0:09:21', '0:09:24', '0:09:15', '0:09:20', '0:09:13', '0:08:58', '0:09:05', '0:08:51', '0:08:47', '0:08:49', '0:08:43', '0:08:48', '0:08:25', '0:08:42', '0:08:21', '0:08:38', '0:08:18', '0:08:35', '0:08:13', '0:08:24', '0:08:07', '0:08:20', '0:08:04', '0:08:15', '0:07:49', '0:08:14', '0:07:47', '0:08:10', '0:07:33', '0:08:01', '0:06:48', '0:07:56', '0:06:46']","[32, 31, 7, 29, 19, 20, -11, 2, -1, 14, 0, 1, -23, -1, -8, 45, -1, 21, 14, 4, -39, 32, -48, -65, -68, -29, -135, 141, 86, 264, 154, 143, 141, 335, -108, -118, -130, -76, -211, 103, 70, 346, 334, 384, 287, 302, 298, 323, 359, 445, 433, 9999, 10000]"
